1) Gender,2) Age,3) Academic degree,4) Main field of research,6) Do you work\study only in the academia? ,"7) How many years have passed since your first academic publication (i.e., academic age)",8) Current affiliation's country ,"9) Based on the last 5 years, on average, how many research projects do you involved in, at the same time? ",10) How many academic papers did you publish with one or more co-author(s) other than your advisor(s)? ,"11) How many solo (i.e., you are the only author) papers did you publish? ",12) How many advisors did you have during your master's studies?,13) How many papers you published during your Masters with your advisor(s)? ,14) How many advisors did you have during your Ph.D. studies?,15) How many papers you published during your Ph.D. studies with your advisor(s)? ,16) How many years your (main) master's advisor is/was older than you?,17) What is/was your master's advisor academic title?,18) What is/was your (main) master's advisor's gender?,19) Did you have a conflict about credit distribution in a paper with your Master's advisor(s)?,20) How many years your (main) Ph.D.'s  (or MD)   advisor is/was older than you?,21) What is/was your (main) Ph.D. (or MD) advisor's gender?,22) Did you have a conflict about credit distribution in a paper with your Ph.D.  (or MD) advisor(s)?,23) What is/was your Ph.D.'s (or MD) advisor academic title?,24) Did you have a conflict about credit distribution in a paper with your peers?,25) Did you add someone to a paper without him\her contributing at all (or not enough to be named an author)? ,26) How often do you ask authors to cite you as part of a review process?,27) How often do you cite your colleagues even when the citation is not entirely scientifically warranted?,"28) How often a co-author raise demands or claims to get more credit in a paper, usually with a treat of delaying the paper's submission/publication?",29)  How many times do you update a papers' authors list based on co-authors' demands and NOT BASED ON CHANGES IN THE CONTRIBUTION of the authors?,5) Second field of research (if any),30) How often do you have to demand to get more credit for you work in a research?
Male,26-35,Third (Ph.D. \ MD),Mathematics,No,3-5,United Kingdom,5+,10+,2-5,1,1,2,5+,40+,Dr.,Male,No,20-40,Male,Yes,Prof.,Yes - They were from the same *field of study* as I am,Yes,When in the general scope of the work,Only when absolutely relevant and warranted,Rarely,Often,Biological Science,Rarely
Male,26-35,Second (Master),Mathematics,No,3-5,Israel,2,2-5,0,2,1,,,20-40,Prof.,Male,No,,,,,No,Yes,Whenever I can,When in the general scope of the work,Often,Never,Mathematics,Often
Male,36-45,Third (Ph.D. \ MD),Basic medicine,No,20+,Israel,5+,10+,10+,2,3+,2,5+,10-20,Prof.,Male,No,10-20,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,Informatics,Rarely
Female,26-35,Second (Master),Mathematics,No,1-2,Israel,3,2-5,0,2,2,2,0,Younger than me,Dr.,Male,No,Younger than me,Male,No,Dr.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Female,26-35,Second (Master),Linguistics,No,1-2,Russian Federation,2,0,1,1,1,,0,20-40,Prof.,Female,Yes,,,,,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,18-25,First (Bachelor),Electrical and electronic engineering,No,1-2,Israel,1,1,1,Do not study for a master's degree yet,0,,,,,Female,No,,,,,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,Physics,Never
Male,46-55,Third (Ph.D. \ MD),Social sciences,No,3-5,Israel,2,2-5,0,1,1,1,0,0-5,Dr.,Female,No,Younger than me,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,Law,Never
Female,26-35,Second (Master),Neuroscience,Yes,0,Israel,1,0,0,1,1,,,20-40,Prof.,Male,No,,,,,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Female,56-65,Professor,Law,No,20+,Sweden,2,10+,10+,I did a direct Ph.D.,0,1,2,10-20,Prof.,Female,No,10-20,Male,Yes,Prof.,Yes - They were from the same *institute* as I am,Yes,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Rarely,Often,Philosophy,Never
Male,18-25,First (Bachelor),Informatics,Yes,0,Israel,3,1,0,2,1,,,20-40,Prof.,Male,No,,,,,No,No,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Never,Never,Physics,Rarely
